city,sex,un4gy,distcat,agxcat,agecat,dcat,time,subjects,upyr,pyr,gdist,agex,age,year,solid,oralca,lip,tongue,saliv,mouth,pharynx,digestca,esoph,stomach,smallint,colon,rectum,liver,gallbldr,pancr,othdig,respca,nasal,larynx,lung,othres,thymus,skinbone,bone,connect,nmskin,skbasal,sksquam,bowens,breast,femgenca,uterus,utrNOS,cervix,corpus,ovary,othfem,malgenca,prost,testis,othmale,urinca,bladder,kidney,renal,othurin,cnsca,thyroid,othsol,msother,adeno,squam,othepi,othnonepi,histnos,cola02w10,cola02g,cola02n,mara02w10,mara02g,mara02n,braa02w10,brea02w10,liva02w10,liva02g,liva02n,luna02w10,ovaa02w10,pana02w10,skea02w10,skia02w10,stoa02w10,tesa02w10,thya02w10,blaa02w10,utea02w10,trunc02,adjust02,outcome,dose,pyr_used,dose_group,dose_group_label
1,1,1,1,5,16,4,10,0,26.68652,24.39014,1996.047,23.836,76.126,1997.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03213,0.03183,3e-5,0.03629,0.03567,6e-5,0.03817,0.03862,0.03408,0.03361,5e-5,0.03601,-0.1,0.0315,0.03522,0.04611,0.03293,0.03419,0.03834,0.03227,-0.1,1,1,0,0.03213,24.39014,0,0-0.1 Gy
1,2,1,2,11,13,2,1,262,325.35934,317.3132,4446.609,50.868,64.134,1958.865,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2e-4,1.2e-4,0,1.3e-4,1.3e-4,0,1.4e-4,1.4e-4,1.3e-4,1.2e-4,0,1.3e-4,1.2e-4,1.2e-4,1.3e-4,1.6e-4,1.2e-4,-0.1,1.4e-4,1.2e-4,1.2e-4,1,1,1,1.2e-4,317.3132,0,0-0.1 Gy
2,2,1,1,2,8,8,3,0,0.64271,0.43631,1779.706,9.87,35.134,1970.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11252,0.11148,1e-4,0.12802,0.12626,1.8e-4,0.12122,0.12637,0.11743,0.11597,1.5e-4,0.12152,0.10833,0.10621,0.11682,0.14374,0.11031,-0.1,0.12449,0.11495,0.10746,1,1,0,0.11252,0.43631,1,0.1-0.2 Gy
2,2,1,1,2,9,5,4,0,0.38877,0.25882,2053.394,9.981,40.189,1975.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04081,0.0406,2e-5,0.04506,0.04473,3e-5,0.04601,0.04359,0.03713,0.03688,3e-5,0.03948,0.03848,0.03935,0.04082,0.0495,0.04181,-0.1,0.04425,0.0384,0.03742,1,1,0,0.04081,0.25882,0,0-0.1 Gy
1,2,1,1,3,9,6,3,0,1.89733,1.56886,1767.514,14.893,40.149,1970.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06959,0.06845,1.1e-4,0.07879,0.0765,2.3e-4,0.08284,0.0846,0.07405,0.07228,1.8e-4,0.07834,0.06798,0.06888,0.07576,0.10262,0.07166,-0.1,0.08175,0.07001,0.06689,1,1,0,0.06959,1.56886,0,0-0.1 Gy
2,2,1,1,9,17,2,5,0,1.40726,1.29068,2814.136,44.888,80.143,1980.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00254,0.00254,0,0.00287,0.00287,0,0.00294,0.00296,0.00267,0.00267,0,0.00281,0.00249,0.0025,0.00274,0.00346,0.00262,-0.1,0.00299,0.00256,0.0025,1,1,0,0.00254,1.29068,0,0-0.1 Gy
1,2,1,3,7,12,2,2,0,17.04107,16.37715,20000,34.869,55.137,1965.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16.37715,0,0-0.1 Gy
2,1,1,1,4,8,9,3,0,31.94798,25.29226,1770.226,16.269,38.334,1967.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14371,0.14284,9e-5,0.16147,0.15991,1.6e-4,0.16908,0.17519,0.14507,0.1439,1.2e-4,0.15822,-0.1,0.1416,0.15861,0.20838,0.15242,0.15433,0.16988,0.14553,-0.1,1,1,0,0.14371,25.29226,1,0.1-0.2 Gy
1,1,1,1,14,18,5,2,0,21.18275,20.14501,1882.314,68.622,86.691,1963.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04977,0.04919,6e-5,0.05593,0.05476,1.2e-4,0.05988,0.05831,0.05164,0.0508,8e-5,0.05537,-0.1,0.05005,0.05549,0.07172,0.05125,0.0519,0.05829,0.05017,-0.1,1,1,0,0.04977,20.14501,0,0-0.1 Gy
1,1,1,1,6,9,10,2,0,41.53183,39.60517,1580.53,26.75,43.576,1962.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16263,0.15858,4.1e-4,0.17829,0.17049,7.8e-4,0.1932,0.20842,0.17015,0.16395,6.2e-4,0.18092,-0.1,0.15633,0.17878,0.24417,0.17178,0.17965,0.19492,0.16568,-0.1,1,1,0,0.16263,39.60517,1,0.1-0.2 Gy
