endpoint,contrast,sex,city,agxcat,agecat,agex,age,year,pyr,dose,dose_level,pihat,cate,cate_lo,cate_hi,logRR,rr
solid,control_vs_moderate,1,2,11,18,52.953,96.849,1989.501,2.80936,0.26063,moderate,0.3772070695379671,540.6966743204372,-114.72258348267103,1622.4303224048217,0.18073521082644856,1.206430118422715
solid,control_vs_moderate,1,1,5,14,24.256,65.86,1987.202,80.99436,8e-5,control,0.4459131530097374,516.1713018715454,-58.908705751422765,1422.2828344143973,0.25080863731121156,1.300782499079366
solid,control_vs_moderate,2,2,12,16,57.028,76.074,1964.655,10.14409,0.44675,moderate,0.3869513209311902,154.65063491112247,-106.74666320036701,535.4066508299572,0.1494312861822815,1.1735904564848023
solid,control_vs_moderate,1,2,10,13,47.048,63.71,1962.27,2.42711,0.17861,moderate,0.3933550040221062,-17.97606589641022,-446.6816499148987,424.79922974914405,-0.02675886853130505,0.9875940822530607
solid,control_vs_moderate,1,1,1,5,4.76,20.084,1960.92,0.59337,0.18513,moderate,0.4844413388125598,2.800690598246231,-1.6968697210215082,10.48701794198197,0.14148464928691107,1.1603801041001307
solid,control_vs_moderate,2,1,8,12,36.718,58.562,1967.441,91.38312,0.18695,moderate,0.44134081110140067,108.42547731916764,-41.89861796156435,284.20848321209985,0.2105955533440614,1.2473913415089817
solid,control_vs_moderate,1,1,11,18,51.036,94.861,1989.424,10.80665,0.38787,moderate,0.4030766060753263,459.81172579478215,-107.08901932097548,1310.4537046267626,0.1802507513378799,1.2057888510935175
solid,control_vs_moderate,1,2,1,6,1.559,28.478,1972.525,54.56762,0.38316,moderate,0.4624066439177536,5.922285194632649,-3.2383916950852356,20.725840903912708,0.14147768691541088,1.1603164783390805
solid,control_vs_moderate,2,1,10,13,47.85,61.928,1959.677,927.45339,0.01031,control,0.4257833808857022,22.189496932380163,-196.12093261390228,282.8759155357196,0.02682308246139494,1.045572289969979
solid,control_vs_moderate,2,1,14,18,66.259,97.899,1977.239,9.84126,0,control,0.392365443061588,311.1051186170214,-217.32619308589952,1096.419034687946,0.15281411004227635,1.1760954533254087
